hackathon_name,project_name,project_link,winner
HackHarvard 2024,"Vota: One vote, one voice",https://devpost.com/software/vota-one-vote-one-voice,FALSE
HackHarvard 2024,Lucidity,https://devpost.com/software/lucidity-tsnufp,FALSE
HackHarvard 2024,EcoKitty,https://devpost.com/software/ecokitty,FALSE
HackHarvard 2024,Eventure,https://devpost.com/software/eventure-1ey42c,FALSE
HackHarvard 2024,CopayHero GPT,https://devpost.com/software/copay-hero-gpt,FALSE
HackHarvard 2024,EduCare,https://devpost.com/software/educare-9vc6an,FALSE
HackHarvard 2024,PAWPAW - the Privacy Analyzer with Personality and Whimsy,https://devpost.com/software/pawpaw,FALSE
HackHarvard 2024,SafeRoute | Safety Prioritized in Google Maps,https://devpost.com/software/saferoute-safety-prioritized-in-google-maps,FALSE
HackHarvard 2024,DermaDrill,https://devpost.com/software/dermadrill,FALSE
HackHarvard 2024,Just Hurry!,https://devpost.com/software/just-hurry,FALSE
HackHarvard 2024,Realytics,https://devpost.com/software/realytics,FALSE
HackHarvard 2024,Unify,https://devpost.com/software/unify-23bgjx,FALSE
HackHarvard 2024,elo-fi,https://devpost.com/software/elo-fi,FALSE
HackHarvard 2024,ChaosNet,https://devpost.com/software/chaosnet,FALSE
HackHarvard 2024,Call Me Maybe,https://devpost.com/software/call-me-maybe-lxrwaf,FALSE
HackHarvard 2024,mood,https://devpost.com/software/mood-lf4rqk,FALSE
HackHarvard 2024,RideCast,https://devpost.com/software/ridecast-am39xz,FALSE
HackHarvard 2024,CrisisCompanion,https://devpost.com/software/crisis-companion-xigj0e,FALSE
HackHarvard 2024,HavenLink,https://devpost.com/software/havenlink,FALSE
HackHarvard 2024,Teaching Assassin,https://devpost.com/software/teaching-assassin,FALSE
HackHarvard 2024,Buzzly-AI,https://devpost.com/software/email-ai,FALSE
HackHarvard 2024,TechedIn,https://devpost.com/software/techedin,FALSE
HackHarvard 2024,Health Guardian,https://devpost.com/software/health-guardian-nuwcth,FALSE
HackHarvard 2024,VeriPharma,https://devpost.com/software/veripharm-8u2pli,FALSE
HackHarvard 2024,SOS,https://devpost.com/software/sos-4h501v,FALSE
HackHarvard 2024,FoodBridge,https://devpost.com/software/foodbridge-6frkw9,FALSE
HackHarvard 2024,moodeng,https://devpost.com/software/moodeng,FALSE
HackHarvard 2024,Educrate,https://devpost.com/software/educrate,FALSE
HackHarvard 2024,Gladiator Go,https://devpost.com/software/gladiator-go,FALSE
HackHarvard 2024,PatientVault,https://devpost.com/software/patientvault,FALSE
HackHarvard 2024,EcoCompute,https://devpost.com/software/ecocompute,FALSE
HackHarvard 2024,Grapevine,https://devpost.com/software/grapevine-fe5i4j,FALSE
HackHarvard 2024,TrueCritic,https://devpost.com/software/truecritic,FALSE
HackHarvard 2024,Traffic Eye,https://devpost.com/software/traffic-eye-dah7ql,FALSE
HackHarvard 2024,Mood Map,https://devpost.com/software/mood-map-igfd5t,FALSE
HackHarvard 2024,Muscle Intelligence,https://devpost.com/software/muscle-intelligence,FALSE
HackHarvard 2024,Beat the Receipt,https://devpost.com/software/beat-the-receipt,FALSE
HackHarvard 2024,UrbanEye,https://devpost.com/software/urbaneye,FALSE
HackHarvard 2024,Climately: Your Weather Calendar,https://devpost.com/software/calendar-weather-app,FALSE
HackHarvard 2024,City Vibes,https://devpost.com/software/city-vibes-g2ps8e,FALSE
HackHarvard 2024,Unikeyboard,https://devpost.com/software/unikeyboard,FALSE
HackHarvard 2024,Kormo Mela,https://devpost.com/software/kormo-mela,FALSE
HackHarvard 2024,steersafe,https://devpost.com/software/steersafe-yuh1fp,FALSE
HackHarvard 2024,Vigilo,https://devpost.com/software/vigilo,FALSE
HackHarvard 2024,Hospital Inventory Manager (2),https://devpost.com/software/hospital-inventory-manager-2,FALSE
HackHarvard 2024,BinIT Right,https://devpost.com/software/binit-right,FALSE
